,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
415,Ryan Arcidiacono,Chi,G,25.04,6.7,3.3,24.2,2.7,0.8,0.06,2018-2019,1349383.0
416,Evan Fournier,Orl,G-F,26.45,15.1,3.6,31.5,3.2,0.89,0.15,2018-2019,17150000.0
417,De'Aaron Fox,Sac,G,21.31,17.3,7.3,31.4,3.8,1.64,0.56,2018-2019,5470920.0
418,Dorian Finney-Smith,Dal,F,25.94,7.5,1.2,24.5,4.8,0.86,0.46,2018-2019,1544951.0
419,Trae Young,Atl,G,20.56,19.1,8.1,30.9,3.7,0.86,0.19,2018-2019,5356440.0
420,Terrence Ross,Orl,G-F,28.18,15.1,1.7,26.5,3.5,0.89,0.36,2018-2019,10500000.0
421,Al-Farouq Aminu,Por,F,28.55,9.4,1.3,28.3,7.5,0.84,0.41,2018-2019,6957105.0
422,Pascal Siakam,Tor,F,25.03,16.9,3.1,31.8,6.9,0.93,0.64,2018-2019,1544951.0
423,Jerami Grant,Okc,F,25.08,13.6,1.0,32.7,5.2,0.76,1.25,2018-2019,8653847.0
424,Marcus Smart,Bos,G,25.1,8.9,4.0,27.5,2.9,1.79,0.35,2018-2019,11660716.0
425,Steven Adams,Okc,C,25.73,13.9,1.6,33.4,9.5,1.49,0.96,2018-2019,24157303.0
426,Nikola Jokic,Den,C,24.14,20.1,7.3,31.3,10.8,1.35,0.69,2018-2019,24605181.0
427,Jae Crowder,Uta,F,28.77,11.9,1.7,27.1,4.8,0.8,0.39,2018-2019,7305825.0
428,Kevon Looney,Gol,F,23.18,6.3,1.5,18.5,5.2,0.56,0.68,2018-2019,1512601.0
429,Nikola Vucevic,Orl,C,28.46,20.8,3.8,31.4,12.0,1.01,1.14,2018-2019,12750000.0
430,Langston Galloway,Det,G,27.34,8.4,1.1,21.8,2.1,0.46,0.1,2018-2019,7000000.0
431,Tomas Satoransky,Was,G-F,27.45,8.9,5.0,27.0,3.5,1.04,0.18,2018-2019,3129187.0
432,Danny Green,Tor,G-F,31.8,10.3,1.6,27.7,4.0,0.91,0.66,2018-2019,10000000.0
433,Miles Bridges,Cha,F,21.06,7.5,1.2,21.2,4.1,0.68,0.61,2018-2019,3206640.0
434,Jarrett Allen,Bro,C,20.97,10.9,1.4,26.2,8.4,0.54,1.5,2018-2019,2034120.0
435,Damian Lillard,Por,G,28.74,25.8,6.9,35.5,4.6,1.11,0.41,2018-2019,27977689.0
436,Marco Belinelli,San,G-F,33.05,10.5,1.7,23.0,2.5,0.44,0.1,2018-2019,6153846.0
437,Jayson Tatum,Bos,F,21.11,15.7,2.1,31.1,6.0,1.06,0.73,2018-2019,6700800.0
438,Kelly Olynyk,Mia,F,27.98,10.0,1.8,22.9,4.7,0.67,0.46,2018-2019,12537527.0
439,Ben Simmons,Phi,G-F,22.72,16.9,7.7,34.2,8.8,1.42,0.77,2018-2019,6434520.0
440,Terry Rozier,Bos,G,25.07,9.0,2.9,22.7,3.9,0.86,0.25,2018-2019,3050390.0
441,Josh Jackson,Pho,F,22.16,11.5,2.3,25.2,4.4,0.92,0.71,2018-2019,6041520.0
442,Dennis Schroder,Okc,G,25.57,15.5,4.1,29.3,3.6,0.81,0.15,2018-2019,15500000.0
443,Jeremy Lamb,Cha,G,26.86,15.3,2.2,28.5,5.5,1.11,0.41,2018-2019,7488372.0
444,Andre Drummond,Det,C,25.67,17.3,1.4,33.5,15.6,1.73,1.76,2018-2019,25434263.0
445,Klay Thompson,Gol,G,29.17,21.5,2.4,34.0,3.8,1.06,0.6,2018-2019,18988725.0
446,Aaron Gordon,Orl,F,23.57,16.0,3.7,33.8,7.3,0.73,0.72,2018-2019,21590909.0
447,Kevin Durant,Gol,F,30.53,26.0,5.9,34.6,6.4,0.76,1.08,2018-2019,30000000.0
448,James Harden,Hou,G,29.63,36.1,7.5,36.8,6.6,2.05,0.73,2018-2019,30421854.0
449,Patrick Beverley,Lac,G,30.75,7.6,3.9,27.4,4.9,0.86,0.55,2018-2019,5027028.0
450,Eric Bledsoe,Mil,G,29.34,15.9,5.5,29.1,4.6,1.51,0.37,2018-2019,15000000.0
451,Paul George,Okc,F,28.94,28.0,4.1,36.9,8.1,2.21,0.44,2018-2019,30560700.0
452,Nemanja Bjelica,Sac,F,30.92,9.6,1.9,23.2,5.8,0.7,0.71,2018-2019,6500000.0
453,Karl-Anthony Towns,Min,C-F,23.4,24.4,3.4,33.0,12.4,0.88,1.62,2018-2019,7839435.0
454,Donovan Mitchell,Uta,G,22.59,23.8,4.2,33.7,4.1,1.38,0.4,2018-2019,3111480.0
455,Nerlens Noel,Okc,C-F,25.0,4.9,0.6,13.7,4.2,0.86,1.25,2018-2019,1757429.0
456,Zach Collins,Por,C-F,21.39,6.6,0.9,17.6,4.2,0.32,0.86,2018-2019,3628920.0
457,Alex Len,Atl,C,25.82,11.1,1.1,20.1,5.5,0.35,0.9,2018-2019,4350000.0
458,Jakob Poeltl,San,C,23.49,5.5,1.2,16.5,5.3,0.38,0.9,2018-2019,2947320.0
459,Dwight Powell,Dal,C-F,27.73,10.6,1.5,21.6,5.3,0.56,0.66,2018-2019,9631250.0
460,DeMar DeRozan,San,G,29.68,21.2,6.2,34.9,6.0,1.12,0.47,2018-2019,27739975.0
461,Khris Middleton,Mil,F,27.66,18.3,4.3,31.1,6.0,1.04,0.09,2018-2019,13000000.0
462,Doug McDermott,Ind,F,27.27,7.3,0.9,17.4,1.4,0.23,0.1,2018-2019,7333333.0
463,Jeff Green,Was,F,32.62,12.3,1.8,27.2,4.0,0.56,0.52,2018-2019,1512601.0
464,T.J. McConnell,Phi,G,27.04,6.4,3.4,19.3,2.3,1.04,0.21,2018-2019,1600520.0
465,Joe Harris,Bro,G-F,27.59,13.7,2.4,30.2,3.9,0.49,0.22,2018-2019,8333333.0
466,Darren Collison,Ind,G,31.63,11.2,6.0,28.2,3.0,1.45,0.12,2018-2019,10000000.0
467,Gorgui Dieng,Min,C,29.23,6.4,0.9,13.6,4.1,0.62,0.54,2018-2019,15170787.0
468,Davis Bertans,San,F,26.41,8.0,1.3,21.5,3.5,0.46,0.43,2018-2019,7000000.0
469,Cedi Osman,Cle,F,24.01,13.0,2.6,32.2,4.7,0.78,0.14,2018-2019,2775000.0
470,Vince Carter,Atl,G-F,42.21,7.4,1.1,17.5,2.6,0.58,0.36,2018-2019,1512601.0
471,JJ Redick,Phi,G,34.8,18.0,2.7,31.3,2.4,0.42,0.21,2018-2019,12250000.0
472,Derrick Favors,Uta,C-F,27.74,11.8,1.2,23.2,7.4,0.74,1.39,2018-2019,16900000.0
473,Jamal Murray,Den,G,22.13,18.2,4.8,32.6,4.2,0.89,0.36,2018-2019,3499800.0
474,Kevin Huerter,Atl,G,20.62,9.7,2.9,27.3,3.3,0.88,0.33,2018-2019,2250960.0
475,Nicolas Batum,Cha,G-F,30.32,9.3,3.3,31.4,5.2,0.95,0.57,2018-2019,24000000.0
476,Torrey Craig,Den,F,28.31,5.7,1.0,20.0,3.5,0.49,0.61,2018-2019,2000000.0
477,Jonathan Isaac,Orl,F,21.52,9.6,1.1,26.6,5.5,0.79,1.29,2018-2019,4969080.0
478,Lou Williams,Lac,G,32.46,20.0,5.3,26.6,3.0,0.75,0.15,2018-2019,8000000.0
479,Marvin Williams,Cha,F,32.81,10.1,1.2,28.4,5.4,0.92,0.8,2018-2019,14087500.0
480,Blake Griffin,Det,F,30.07,24.5,5.4,35.0,7.5,0.69,0.37,2018-2019,32088932.0
481,JaVale McGee,Lal,C,31.23,12.0,0.7,22.3,7.6,0.64,1.96,2018-2019,1512601.0
482,Jaylen Brown,Bos,F,22.46,13.0,1.4,25.9,4.2,0.95,0.43,2018-2019,5169960.0
483,Terrance Ferguson,Okc,G,20.9,6.9,1.0,26.1,1.9,0.54,0.22,2018-2019,2118840.0
484,Tony Snell,Mil,G,27.42,6.0,0.9,17.6,2.1,0.35,0.24,2018-2019,10807143.0
485,Josh Okogie,Min,G,20.61,7.7,1.2,23.7,2.9,1.19,0.45,2018-2019,2160720.0
486,Quinn Cook,Gol,G,26.05,6.9,1.5,14.3,2.1,0.27,0.04,2018-2019,1544951.0
487,Seth Curry,Por,G,28.63,7.9,0.9,18.9,1.6,0.47,0.16,2018-2019,2795000.0
488,Robin Lopez,Chi,C,31.03,9.5,1.2,21.7,3.9,0.15,1.05,2018-2019,14357750.0
489,Myles Turner,Ind,C-F,23.05,13.3,1.6,28.6,7.2,0.81,2.69,2018-2019,3410284.0
490,Bruce Brown,Det,G,22.65,4.3,1.2,19.6,2.5,0.54,0.49,2018-2019,838464.0
491,Serge Ibaka,Tor,C-F,29.56,15.0,1.3,27.2,8.1,0.39,1.38,2018-2019,21666667.0
492,Domantas Sabonis,Ind,F,22.94,14.1,2.9,24.8,9.4,0.68,0.41,2018-2019,2659800.0
493,Damyean Dotson,Nyk,G,24.93,10.7,1.8,27.4,3.6,0.79,0.14,2018-2019,1378242.0
494,Jalen Brunson,Dal,G,22.61,9.3,3.2,21.8,2.3,0.51,0.05,2018-2019,1230000.0
495,Julius Randle,Nor,F,24.37,21.4,3.1,30.6,8.7,0.71,0.62,2018-2019,8641000.0
496,Jonas Jerebko,Gol,F,32.11,6.3,1.3,16.7,3.9,0.37,0.25,2018-2019,1512601.0
497,Malik Monk,Cha,G,21.18,8.9,1.6,17.2,1.9,0.51,0.26,2018-2019,3447480.0
498,Shaquille Harrison,Chi,G,25.51,6.5,1.9,19.6,3.0,1.22,0.41,2018-2019,1311265.0
499,Gerald Green,Hou,G-F,33.21,9.2,0.5,20.2,2.5,0.45,0.37,2018-2019,1512601.0
500,Josh Richardson,Mia,F,25.57,16.6,4.1,34.8,3.6,1.08,0.45,2018-2019,9367200.0
501,Evan Turner,Por,G-F,30.45,6.8,3.9,22.0,4.5,0.45,0.25,2018-2019,17868853.0
502,Andrew Wiggins,Min,G-F,24.13,18.1,2.5,34.8,4.8,0.97,0.66,2018-2019,25467250.0
503,Russell Westbrook,Okc,G,30.41,22.9,10.7,36.0,11.1,1.95,0.45,2018-2019,35654150.0
504,Luka Doncic,Dal,G-F,20.12,21.2,6.0,32.2,7.8,1.08,0.35,2018-2019,6560640.0
505,Alfonzo McKinnie,Gol,F,26.56,4.7,0.4,13.9,3.4,0.26,0.21,2018-2019,1349383.0
506,Dwyane Wade,Mia,G,37.23,15.0,4.2,26.2,4.0,0.82,0.53,2018-2019,1512601.0
507,Giannis Antetokounmpo,Mil,F,24.35,27.7,5.9,32.8,12.5,1.26,1.53,2018-2019,24157303.0
508,Hassan Whiteside,Mia,C,29.83,12.3,0.8,23.3,11.4,0.64,1.89,2018-2019,25434262.0
509,Gordon Hayward,Bos,F,29.05,11.5,3.4,25.9,4.5,0.82,0.32,2018-2019,31214295.0
510,Thomas Bryant,Was,C,21.7,10.5,1.3,20.8,6.3,0.35,0.93,2018-2019,1378242.0
511,Jusuf Nurkic,Por,C,24.63,15.6,3.2,27.4,10.4,0.97,1.43,2018-2019,11111111.0
512,Jake Layman,Por,F,25.1,7.6,0.7,18.7,3.1,0.44,0.42,2018-2019,1544951.0
513,Deandre Ayton,Pho,C,20.72,16.3,1.8,30.7,10.3,0.87,0.94,2018-2019,8165160.0
514,Maxi Kleber,Dal,F,27.2,6.8,1.0,21.2,4.6,0.51,1.11,2018-2019,1378242.0
515,Yogi Ferrell,Sac,G,25.92,5.9,1.9,15.0,1.5,0.51,0.06,2018-2019,3000000.0
516,CJ McCollum,Por,G,27.56,21.0,3.0,33.9,4.0,0.79,0.39,2018-2019,25759766.0
517,Richaun Holmes,Pho,C-F,25.49,8.2,0.9,16.9,4.7,0.6,1.13,2018-2019,1600520.0
518,Kyle Kuzma,Lal,F,23.72,18.7,2.5,33.1,5.5,0.57,0.37,2018-2019,1689840.0
519,Mike Conley,Mem,G,31.5,21.1,6.4,33.5,3.4,1.34,0.31,2018-2019,30521115.0
520,Bogdan Bogdanovic,Sac,G,26.64,14.1,3.8,27.8,3.5,1.03,0.21,2018-2019,9000000.0
521,Paul Millsap,Den,F,34.16,12.6,2.0,27.1,7.2,1.17,0.77,2018-2019,29230769.0
522,Taj Gibson,Min,F,33.8,10.8,1.2,24.1,6.5,0.76,0.56,2018-2019,14000000.0
523,Stephen Curry,Gol,G,31.07,27.3,5.2,33.8,5.3,1.33,0.38,2018-2019,37457154.0
524,Tyreke Evans,Ind,G,29.56,10.2,2.4,20.3,2.9,0.83,0.28,2018-2019,12400000.0
525,Darius Miller,Nor,F,29.06,8.2,2.1,25.5,1.8,0.58,0.33,2018-2019,2205000.0
526,Rudy Gay,San,F,32.65,13.7,2.6,26.7,6.8,0.78,0.49,2018-2019,10087200.0
527,Dario Saric,Min,F,25.01,10.5,1.5,23.9,5.4,0.6,0.12,2018-2019,2526840.0
528,Ricky Rubio,Uta,G,28.47,12.7,6.1,27.9,3.6,1.35,0.15,2018-2019,14975000.0
529,Tyus Jones,Min,G,22.92,6.9,4.8,22.9,2.0,1.19,0.07,2018-2019,2444053.0
530,Zaza Pachulia,Det,C,35.16,3.9,1.3,12.9,3.9,0.46,0.25,2018-2019,1512601.0
531,Danilo Gallinari,Lac,F,30.67,19.8,2.6,30.3,6.1,0.72,0.34,2018-2019,21587579.0
532,Spencer Dinwiddie,Bro,G,26.01,16.8,4.6,28.1,2.4,0.59,0.25,2018-2019,1656092.0
533,Andre Iguodala,Gol,G-F,35.2,5.7,3.2,23.2,3.7,0.9,0.75,2018-2019,16000000.0
534,Al Horford,Bos,C-F,32.86,13.6,4.1,29.0,6.7,0.85,1.26,2018-2019,28928709.0
535,Wes Iwundu,Orl,F,24.31,5.0,1.1,18.1,2.7,0.41,0.32,2018-2019,1378242.0
536,Noah Vonleh,Nyk,F,23.63,8.4,1.9,25.3,7.8,0.66,0.75,2018-2019,1512601.0
537,Lance Stephenson,Lal,G,28.6,7.2,2.1,16.5,3.2,0.6,0.1,2018-2019,4449000.0
538,Eric Gordon,Hou,G,30.29,16.2,1.9,31.7,2.2,0.6,0.4,2018-2019,13500375.0
539,Devin Harris,Dal,G,36.12,6.3,1.8,15.7,1.6,0.51,0.24,2018-2019,1512601.0
540,Jordan Bell,Gol,F,24.26,3.3,1.1,11.6,2.7,0.26,0.76,2018-2019,1378242.0
541,Derrick White,San,G,24.78,9.9,3.9,25.8,3.7,1.0,0.7,2018-2019,1667160.0
542,Jrue Holiday,Nor,G,28.83,21.2,7.7,35.8,5.0,1.64,0.81,2018-2019,25976111.0
543,DeMarre Carroll,Bro,F,32.71,11.1,1.3,25.4,5.2,0.45,0.15,2018-2019,15400000.0
544,Clint Capela,Hou,C,24.9,16.6,1.4,33.6,12.6,0.66,1.52,2018-2019,13793104.0
545,Kent Bazemore,Atl,G,29.78,11.6,2.3,24.5,3.9,1.33,0.63,2018-2019,18089887.0
546,Ersan Ilyasova,Mil,F,31.91,6.8,0.8,18.4,4.5,0.48,0.3,2018-2019,7000000.0
547,Josh Hart,Lal,G,24.1,7.8,1.4,25.6,3.7,0.96,0.6,2018-2019,1655160.0
548,Kyrie Irving,Bos,G,27.05,23.8,6.9,33.0,5.0,1.55,0.51,2018-2019,20099189.0
549,Larry Nance Jr.,Cle,F,26.27,9.4,3.2,26.8,8.2,1.49,0.6,2018-2019,2272391.0
550,OG Anunoby,Tor,F,21.74,7.0,0.7,20.2,2.9,0.69,0.33,2018-2019,2034120.0
551,Mitchell Robinson,Nyk,C,21.03,7.3,0.6,20.6,6.4,0.79,2.44,2018-2019,1485440.0
552,Draymond Green,Gol,F,29.1,7.4,6.9,31.3,7.3,1.44,1.08,2018-2019,17469565.0
553,Rodney McGruder,Mia,G-F,27.7,7.6,1.7,23.5,3.6,0.53,0.2,2018-2019,1544951.0
554,Justise Winslow,Mia,F,23.04,12.6,4.3,29.7,5.4,1.09,0.29,2018-2019,3448926.0
555,Daniel Theis,Bos,F,27.02,5.7,1.0,13.8,3.4,0.32,0.62,2018-2019,1378242.0
556,Anthony Tolliver,Min,F,33.86,5.0,0.7,16.6,2.7,0.26,0.32,2018-2019,4750000.0
557,Kyle Lowry,Tor,G,33.05,14.2,8.7,34.1,4.8,1.4,0.48,2018-2019,31200000.0
558,Joel Embiid,Phi,C-F,25.07,27.5,3.7,33.7,13.6,0.72,1.91,2018-2019,25467250.0
559,Malcolm Brogdon,Mil,G,26.33,15.6,3.2,28.6,4.5,0.72,0.19,2018-2019,1544951.0
560,Cheick Diallo,Nor,F,22.57,6.0,0.5,14.0,5.2,0.45,0.52,2018-2019,1544951.0
561,Dewayne Dedmon,Atl,C,29.66,10.8,1.4,25.1,7.5,1.08,1.13,2018-2019,7200000.0
562,Michael Kidd-Gilchrist,Cha,F,25.54,6.7,1.0,18.4,3.8,0.5,0.61,2018-2019,13000000.0
563,Dante Cunningham,San,F,31.97,3.0,0.8,14.5,2.9,0.41,0.2,2018-2019,2487000.0
564,Jamal Crawford,Pho,G,39.06,7.9,3.6,18.9,1.3,0.52,0.19,2018-2019,1512601.0
565,Fred VanVleet,Tor,G,25.12,11.0,4.8,27.5,2.6,0.89,0.3,2018-2019,8653847.0
566,Sindarius Thornwell,Lac,G,24.4,1.0,0.3,4.9,0.7,0.22,0.11,2018-2019,1378242.0
567,Allonzo Trier,Nyk,G,23.23,10.9,1.9,22.8,3.1,0.44,0.22,2018-2019,3382000.0
568,Shaun Livingston,Gol,G,33.58,4.0,1.8,15.1,1.8,0.48,0.42,2018-2019,8307692.0
569,Devin Booker,Pho,G,22.44,26.6,6.8,35.0,4.1,0.88,0.2,2018-2019,3314365.0
570,Trey Lyles,Den,F,23.43,8.7,1.4,17.8,3.9,0.48,0.38,2018-2019,3364249.0
571,Patrick Patterson,Okc,F,30.08,3.6,0.5,13.7,2.3,0.25,0.21,2018-2019,5451600.0
572,Luke Kennard,Det,G,22.8,9.7,1.8,22.8,2.9,0.41,0.14,2018-2019,3275280.0
573,Rodions Kurucs,Bro,F,21.18,8.5,0.8,20.5,3.9,0.67,0.43,2018-2019,1618320.0
574,Zach LaVine,Chi,G,24.09,23.7,4.5,34.5,4.7,0.95,0.41,2018-2019,19500000.0
575,Marvin Bagley III,Sac,F,20.08,14.9,1.0,25.3,7.6,0.53,0.95,2018-2019,7305600.0
576,Tyrone Wallace,Lac,G,24.84,3.5,0.7,10.1,1.6,0.34,0.11,2018-2019,1349383.0
577,John Collins,Atl,C-F,21.55,19.5,2.0,30.0,9.8,0.36,0.64,2018-2019,2299080.0
578,Abdel Nader,Okc,F,25.54,4.0,0.3,11.4,1.9,0.33,0.2,2018-2019,1378242.0
579,Pat Connaughton,Mil,G,26.26,6.9,2.0,20.7,4.2,0.54,0.43,2018-2019,1641000.0
580,Frank Jackson,Nor,G,20.94,8.1,1.1,19.2,2.2,0.41,0.03,2018-2019,1378242.0
581,Meyers Leonard,Por,C-F,27.12,5.9,1.2,14.4,3.8,0.21,0.15,2018-2019,10595506.0
582,Jerian Grant,Orl,G,26.5,4.2,2.6,15.6,1.7,0.73,0.1,2018-2019,2639314.0
583,Kawhi Leonard,Tor,F,27.78,26.6,3.3,34.0,7.3,1.77,0.42,2018-2019,23114067.0
584,Cristiano Felicio,Chi,C-F,26.76,4.0,0.6,12.4,3.7,0.18,0.12,2018-2019,8740980.0
585,Maurice Harkless,Por,F,25.92,7.7,1.2,23.6,4.5,1.12,0.92,2018-2019,10837079.0
586,Derrick Jones Jr.,Mia,G-F,22.15,7.0,0.6,19.2,4.0,0.77,0.7,2018-2019,1512601.0
587,Norman Powell,Tor,G-F,25.88,8.6,1.5,18.8,2.3,0.65,0.22,2018-2019,9367200.0
588,Ian Clark,Nor,G,28.1,6.7,1.6,16.2,1.5,0.37,0.13,2018-2019,1512601.0
589,Emmanuel Mudiay,Nyk,G,23.1,14.8,3.9,27.2,3.3,0.73,0.32,2018-2019,4294480.0
590,Rondae Hollis-Jefferson,Bro,F,24.27,8.9,1.6,20.9,5.3,0.75,0.46,2018-2019,2470357.0
591,Ante Zizic,Cle,C,22.27,7.8,0.9,18.3,5.4,0.22,0.37,2018-2019,1952760.0
592,Georges Niang,Uta,F,25.82,4.0,0.6,8.8,1.5,0.17,0.1,2018-2019,1512601.0
593,Jahlil Okafor,Nor,C,23.32,8.2,0.7,15.8,4.7,0.25,0.68,2018-2019,1567707.0
594,Jared Dudley,Bro,F,33.75,4.9,1.4,20.7,2.6,0.61,0.27,2018-2019,9530000.0
595,Jaren Jackson Jr.,Mem,C-F,19.57,13.8,1.1,26.1,4.7,0.9,1.41,2018-2019,5915040.0
596,Chris Paul,Hou,G,33.93,15.6,8.2,32.0,4.6,1.97,0.31,2018-2019,35654150.0
597,Sterling Brown,Mil,G,24.16,6.4,1.4,17.8,3.2,0.43,0.14,2018-2019,1378242.0
598,Harry Giles III,Sac,C-F,20.97,7.0,1.5,14.1,3.8,0.53,0.38,2018-2019,2207040.0
599,Mario Hezonja,Nyk,F,24.12,8.8,1.5,20.8,4.1,0.98,0.14,2018-2019,6500000.0
600,Willy Hernangomez,Cha,C,24.87,7.3,1.0,14.0,5.4,0.28,0.36,2018-2019,1544951.0
601,Antonio Blakeney,Chi,G,22.52,7.3,0.7,14.5,1.9,0.21,0.16,2018-2019,1349383.0
602,Gary Harris,Den,G,24.57,12.9,2.2,28.8,2.8,0.96,0.33,2018-2019,16517857.0
603,Ish Smith,Det,G,30.77,8.9,3.6,22.3,2.6,0.52,0.2,2018-2019,6000000.0
604,Anthony Davis,Nor,C-F,26.09,25.9,3.9,33.0,12.0,1.57,2.41,2018-2019,25434263.0
605,Shabazz Napier,Bro,G,27.74,9.4,2.6,17.6,1.8,0.75,0.29,2018-2019,1942422.0
606,Tony Parker,Cha,G,36.9,9.5,3.7,17.9,1.5,0.38,0.13,2018-2019,5000000.0
607,Semi Ojeleye,Bos,F,24.35,3.3,0.4,10.6,1.5,0.18,0.07,2018-2019,1378242.0
608,Tobias Harris,Lac,F,26.74,20.9,2.7,34.6,7.8,0.73,0.44,2018-2019,14800000.0
609,James Johnson,Mia,F,32.14,7.8,2.5,21.2,3.2,0.64,0.49,2018-2019,14651700.0
610,Taurean Prince,Atl,F,25.06,13.5,2.1,28.2,3.6,0.96,0.35,2018-2019,2526840.0
611,LeBron James,Lal,F,34.28,27.4,8.3,35.2,8.4,1.31,0.6,2018-2019,35654150.0
612,Jimmy Butler,Phi,G-F,29.57,18.2,4.0,33.2,5.3,1.8,0.53,2018-2019,20445779.0
613,Kyle Korver,Uta,G-F,38.07,9.1,1.2,20.0,2.5,0.41,0.19,2018-2019,7560000.0
614,Bismack Biyombo,Cha,C,26.62,4.4,0.6,14.5,4.6,0.19,0.76,2018-2019,17000000.0
615,Landry Shamet,Phi,G,22.08,8.3,1.1,20.5,1.4,0.44,0.15,2018-2019,1703649.0
616,Elie Okobo,Pho,G,21.47,5.7,2.4,18.1,1.9,0.6,0.13,2018-2019,1238464.0
617,E'Twaun Moore,Nor,G,30.12,11.9,1.9,27.6,2.4,0.75,0.15,2018-2019,8808685.0
618,Shelvin Mack,Mem,G,28.97,7.9,3.4,22.7,1.9,0.83,0.08,2018-2019,1512601.0
619,Quincy Pondexter,San,F,31.09,1.8,0.5,5.5,0.9,0.21,0.02,2018-2019,1512601.0
620,Marc Gasol,Mem,C,34.2,15.7,4.7,33.7,8.6,1.13,1.21,2018-2019,24119025.0
621,Mike Scott,Lac,F,30.74,4.8,0.8,14.4,3.3,0.33,0.15,2018-2019,4320500.0
622,Lauri Markkanen,Chi,F,21.89,18.7,1.4,32.3,9.1,0.71,0.63,2018-2019,4536120.0
623,Justin Jackson,Sac,F,24.04,6.7,1.3,20.8,2.8,0.44,0.25,2018-2019,2807880.0
624,Brandon Ingram,Lal,F,21.61,18.3,3.0,33.9,5.2,0.54,0.6,2018-2019,5757120.0
625,Troy Brown Jr.,Was,F,19.7,4.8,1.5,14.0,2.8,0.4,0.1,2018-2019,2749080.0
626,Ekpe Udoh,Uta,C-F,31.89,2.3,0.5,6.3,1.8,0.18,0.61,2018-2019,3360000.0
627,Amir Johnson,Phi,C-F,31.95,3.9,1.2,10.4,2.9,0.31,0.27,2018-2019,1512601.0
628,Aron Baynes,Bos,C-F,32.34,5.6,1.1,16.1,4.7,0.24,0.67,2018-2019,5193600.0
629,Dirk Nowitzki,Dal,F,40.81,7.3,0.7,15.6,3.1,0.18,0.35,2018-2019,5000000.0
630,David Nwaba,Cle,G,26.24,6.5,1.1,19.3,3.2,0.71,0.33,2018-2019,1512601.0
631,Jeremy Lin,Atl,G,30.63,10.7,3.5,19.7,2.3,0.75,0.14,2018-2019,487109.0
632,Gary Clark,Hou,F,24.4,2.9,0.4,12.6,2.3,0.39,0.53,2018-2019,596873.0
633,Troy Daniels,Pho,G,27.74,6.2,0.5,14.9,1.4,0.51,0.1,2018-2019,3258539.0
634,Hamidou Diallo,Okc,G,20.7,3.7,0.3,10.3,1.9,0.41,0.2,2018-2019,838464.0
635,Derrick Rose,Min,G,30.52,18.0,4.3,27.3,2.7,0.59,0.24,2018-2019,1512601.0
636,Thabo Sefolosha,Uta,F,34.94,3.8,0.5,12.2,2.5,0.86,0.1,2018-2019,5250000.0
637,De'Anthony Melton,Pho,G,20.87,5.0,3.2,19.7,2.7,1.36,0.46,2018-2019,949000.0
638,DeAndre Jordan,Dal,C,30.72,11.0,2.0,31.1,13.7,0.64,1.06,2018-2019,22897200.0
639,Khem Birch,Orl,C,26.53,4.8,0.8,12.9,3.8,0.36,0.6,2018-2019,1378242.0
640,Aaron Holiday,Ind,G,22.53,5.9,1.7,12.9,1.3,0.4,0.26,2018-2019,1911960.0
641,Garrett Temple,Mem,G-F,32.93,9.4,1.4,31.2,3.1,1.02,0.49,2018-2019,8000000.0
642,Chasson Randle,Was,G,26.18,5.5,2.0,15.2,1.1,0.51,0.06,2018-2019,869094.0
643,Ivan Rabb,Mem,F,22.18,5.8,1.1,14.7,4.2,0.35,0.29,2018-2019,1378242.0
644,Harrison Barnes,Dal,F,26.86,17.7,1.3,32.3,4.2,0.67,0.22,2018-2019,24107258.0
645,Delon Wright,Tor,G,26.96,6.9,2.2,18.3,2.6,0.94,0.31,2018-2019,2536898.0
646,Avery Bradley,Lac,G,28.37,8.2,2.0,29.9,2.7,0.55,0.33,2018-2019,12000000.0
647,Cody Zeller,Cha,C-F,26.51,10.1,2.1,25.4,6.8,0.78,0.86,2018-2019,13528090.0
648,Stanley Johnson,Det,F,22.87,7.5,1.3,20.0,3.6,1.0,0.27,2018-2019,3940402.0
649,Tyson Chandler,Lal,C,36.52,3.1,0.6,16.4,5.6,0.4,0.5,2018-2019,1333140.0
650,Jose Calderon,Det,G,37.54,2.4,2.4,13.2,1.3,0.33,0.06,2018-2019,1512601.0
651,Furkan Korkmaz,Phi,G-F,21.72,5.8,1.1,14.2,2.3,0.6,0.04,2018-2019,1740000.0
652,Justin Anderson,Atl,G-F,25.39,3.7,0.5,9.7,1.8,0.46,0.27,2018-2019,2516048.0
653,D.J. Wilson,Mil,F,23.14,5.8,1.1,18.4,4.6,0.38,0.42,2018-2019,2534280.0
654,Marcin Gortat,Lac,C,35.15,5.0,1.4,16.0,5.6,0.13,0.51,2018-2019,13565218.0
655,Glenn Robinson III,Det,G-F,25.26,4.2,0.4,13.0,1.5,0.3,0.17,2018-2019,4075000.0
656,Frank Kaminsky,Cha,C-F,26.02,8.6,1.3,16.1,3.5,0.26,0.28,2018-2019,3627842.0
657,Mike Muscala,Phi,C-F,27.78,7.4,1.3,22.2,4.3,0.38,0.57,2018-2019,5000000.0
658,Lonzo Ball,Lal,G,21.46,9.9,5.4,30.3,5.3,1.47,0.4,2018-2019,7461960.0
659,Mo Bamba,Orl,C,20.92,6.2,0.8,16.3,4.9,0.28,1.36,2018-2019,4865040.0
